20200229,0
20200301,1
20200302,0
20200303,1
20200304,0
20200305,3
20200306,2
20200307,7
20200308,3
20200309,6
20200310,8
20200311,15
20200312,13
20200313,18
20200314,12
20200315,36
20200316,21
20200317,27
20200318,69
20200319,131
20200320,75
20200321,112
20200322,112
20200323,186
20200324,240
20200325,231
20200326,365
20200327,299
20200328,319
20200329,292
20200330,418
20200331,499
20200401,509
20200402,1355
20200403,1120
20200404,1053
20200405,518
20200406,833
20200407,1417
20200408,541
20200409,1341
20200410,987
20200411,635
20200412,561
20200413,574
20200414,762
20200415,1438
20200416,753
20200417,761
20200418,642
20200419,395
20200420,547
20200421,531
20200422,544
20200423,516
20200424,389
20200425,369
20200426,242
20200427,437
20200428,367
20200429,427
20200430,289
20200501,218
20200502,166
20200503,135
20200504,306
20200505,330
20200506,278
20200507,178
20200508,243
20200509,80
20200510,70
20200511,263
20200512,348
20200513,83
20200514,351
20200515,104
20200516,96
20200517,483
20200518,131
20200519,0000
20200520,110
20200521,83
20200522,74
20200523,43
20200524,35
20200525,65
20200526,98
20200527,66
20200528,0000
20200529,52
20200530,57
20200531,31
20200601,31
20200602,107
20200603,81
20200604,44
20200605,46
20200606,31
20200607,13
20200608,54
20200609,87
20200610,23
20200611,27
20200612,28
20200613,24
20200614,9
20200615,29
20200616,111
20200617,28
20200618,28
20200619,14
20200620,16
20200621,7
20200622,23
20200623,57
20200624,11
20200625,21
20200626,26
20200627,0000
20200628,0000
20200629,0000
20200630,30
20200701,18
20200702,14
20200703,18
20200704,0000
20200705,0000
20200706,0000
20200707,13
20200708,30
20200709,16
20200710,25
20200711,0000
20200712,0000
20200713,0000
20200714,0000
20200715,0000
20200716,18
20200717,14
20200718,0000
20200719,0000
20200720,0000
20200721,0000
20200722,7
20200723,10
20200724,10
20200725,0000
20200726,0000
20200727,0000
20200728,14
20200729,15
20200730,16
20200731,11
20200801,0000
20200802,0000
20200803,0000
20200804,2
20200805,9
20200806,7
20200807,12
20200808,0000
20200809,0000
20200810,0000
20200811,14
20200812,17
20200813,17
20200814,18
20200815,0000
20200816,0000
20200817,0000
20200818,22
20200819,17
20200820,12
20200821,23
20200822,9
20200823,1
20200824,15
20200825,16
20200826,0
20200827,32
20200828,20
20200829,6
20200830,4
20200831,29
20200901,26
20200902,25
20200903,20
